Date,Close
2/20/2020,12.33
2/21/2020,12.54
2/24/2020,11.72
2/25/2020,10.54
2/26/2020,10.36
2/27/2020,10.51
2/28/2020,9.85
3/2/2020,10.36
3/3/2020,10
3/4/2020,10.04
3/5/2020,10.93
3/6/2020,10.58
3/9/2020,8.87
3/10/2020,9.26
3/11/2020,8.61
3/12/2020,6.42
3/13/2020,6.32
3/16/2020,5.54
3/17/2020,6.1
3/18/2020,6.01
3/19/2020,7.2
3/20/2020,7
3/23/2020,7.19
3/24/2020,7.55
3/25/2020,7.35
3/26/2020,7.36
3/27/2020,7.3
3/30/2020,7.05
3/31/2020,7.12
4/1/2020,6.5
4/2/2020,7.72
4/3/2020,7.48
4/6/2020,7.95
4/7/2020,7.66
4/8/2020,7.85
4/9/2020,7.8
4/13/2020,7.25
4/14/2020,7.33
4/15/2020,7.15
4/16/2020,7.66
4/17/2020,7.49