Date,ETH,BTC,GLD,SLV
2/19/2019,142.69,3888.01,126.7,15.02
2/20/2019,147.19,3938.99,126.48,15.07
2/21/2019,144.21,3897.71,125.05,14.83
2/22/2019,146.68,3942.02,125.5,14.95
2/25/2019,137.64,3818.79,125.37,14.9
2/26/2019,135.66,3799.48,125.58,14.94
2/27/2019,134.46,3799.91,124.69,14.75
2/28/2019,134.48,3792.14,123.99,14.63
3/1/2019,134.72,3806.17,121.88,14.2
3/4/2019,125.24,3700.72,121.56,14.15
3/5/2019,136.3,3844.59,121.72,14.2
3/6/2019,137,3851.89,121.61,14.15
3/7/2019,136.21,3857.05,121.51,14.09
3/8/2019,132.75,3843.12,122.84,14.41
3/11/2019,132.05,3849.68,122.24,14.37
3/12/2019,132.8,3860,122.98,14.48
3/13/2019,131.16,3851.02,123.84,14.51
3/14/2019,131.4,3853.95,122.41,14.24
3/15/2019,135.99,3902.8,122.97,14.33
3/18/2019,137.01,3970.5,123.04,14.39
3/19/2019,138.1,4000.85,123.38,14.4
3/20/2019,138.73,4033,124.18,14.54
3/21/2019,134.41,3972.76,123.68,14.5
3/22/2019,135.87,3983.78,123.97,14.45
3/25/2019,133.01,3908.01,124.92,14.56
3/26/2019,133.28,3922.42,124.3,14.47
3/27/2019,139.27,4026.53,123.65,14.32
3/28/2019,137.46,4011.17,121.9,14.07
3/29/2019,142.83,4091.01,122.01,14.18
4/1/2019,141,4137.01,121.53,14.15
4/2/2019,164.69,4901.93,121.98,14.16
4/3/2019,161.33,4975.07,121.8,14.2
4/4/2019,157.4,4906.49,122.11,14.22
4/5/2019,166.08,5040.66,121.98,14.17
4/8/2019,180.74,5285.54,122.51,14.31
4/9/2019,175.83,5193.49,123.15,14.28
4/10/2019,177.55,5320.81,123.53,14.28
4/11/2019,164.92,5041.32,121.95,14.02
4/12/2019,164.27,5078.18,121.83,14.05
4/15/2019,160.24,5029.99,121.6,14.06
4/16/2019,166.38,5204.92,120.51,14.07
4/17/2019,166.54,5227,120.28,14.05
4/18/2019,174.15,5282.32,120.37,14.06
4/22/2019,171.58,5387.6,120.37,14.08
4/23/2019,171.07,5532.85,120.12,13.91
4/24/2019,165.75,5443.14,120.47,14
4/25/2019,151.95,5125.3,120.57,14
4/26/2019,153.41,5159.51,121.37,14.1
4/29/2019,152.36,5148.25,120.83,13.99
4/30/2019,160.4,5267.43,121.2,14.02
5/1/2019,158.39,5321.15,120.4,13.75
5/2/2019,158.7,5390.01,119.94,13.71
5/3/2019,164.91,5657.4,120.65,13.96
5/6/2019,171.07,5687.9,120.81,13.98
5/7/2019,166.34,5743.3,121.21,13.98
5/8/2019,169.58,5943.6,120.91,13.89
5/9/2019,170.11,6153.09,121.2,13.83
5/10/2019,172.21,6343.14,121.43,13.84
5/13/2019,196.51,7825.41,122.67,13.84
5/14/2019,217.6,7990.92,122.46,13.86
5/15/2019,249.12,8204.24,122.39,13.85
5/16/2019,264.39,7878.96,121.51,13.65
5/17/2019,244.59,7361.1,120.65,13.52
5/20/2019,252.22,7999.54,120.64,13.55
5/21/2019,254.74,7951.7,120.36,13.53
5/22/2019,243.32,7626.48,120.24,13.54
5/23/2019,245.64,7881.98,121.17,13.68
5/24/2019,249.83,8002.21,121.3,13.65
5/28/2019,271.15,8715.36,120.83,13.46
5/29/2019,269.39,8662.44,120.87,13.52
5/30/2019,254.47,8279.69,121.69,13.6
5/31/2019,267.56,8566.04,123.33,13.65
6/3/2019,250.89,8107.96,125.11,13.87
6/4/2019,240.93,7670.96,125.15,13.89
6/5/2019,246.32,7789.48,125.47,13.88
6/6/2019,249.85,7802.57,125.88,13.92
6/7/2019,249.49,7998.13,126.59,14.06
6/10/2019,247.29,8015.69,125.33,13.78
6/11/2019,245.11,7918.17,125.18,13.81
6/12/2019,262.92,8176.02,125.83,13.84
6/13/2019,255.25,8239.04,126.6,13.96
6/14/2019,263.79,8697.45,126.56,13.91
6/17/2019,273.97,9331.75,126.48,13.9
6/18/2019,264.07,9071.95,127.12,14.05
6/19/2019,268.79,9277.29,127.89,14.17
6/20/2019,271.82,9531.21,131.11,14.45
6/21/2019,296.25,10220,131.98,14.36
6/24/2019,311,11032.3,133.94,14.46
6/25/2019,317.27,11755.5,134.2,14.38
6/26/2019,334.36,12927.4,132.97,14.32
6/27/2019,293.47,11159.2,132.84,14.28
6/28/2019,309.49,12360.4,133.2,14.33
7/1/2019,294.15,10577.6,130.62,14.18
7/2/2019,291.25,10829.1,133.41,14.29
7/3/2019,301.81,11976,133.63,14.32
7/5/2019,288,11004.5,132.14,14.06
7/8/2019,313.24,12293.5,131.29,14.05
7/9/2019,307.92,12561,131.75,14.14
7/10/2019,288.64,12097.9,133.83,14.26
7/11/2019,268.68,11349,132.7,14.17
7/12/2019,275.55,11802,133.53,14.26
7/15/2019,228.28,10854.4,133.53,14.42
7/16/2019,198.89,9422.71,132.4,14.54
7/17/2019,211.4,9696.31,134.58,14.94
7/18/2019,226.31,10651.4,136.48,15.29
7/19/2019,220.96,10518.5,134.47,15.17
7/22/2019,216.77,10323.3,134.45,15.35
7/23/2019,211.93,9840.12,133.69,15.34
7/24/2019,217,9767.87,134.37,15.52
7/25/2019,219.31,9883.34,133.42,15.36
7/26/2019,219.35,9843,133.64,15.31
7/29/2019,210.69,9495,134.53,15.4
7/30/2019,209.83,9589.01,134.98,15.5
7/31/2019,218.7,10086.3,133.21,15.21
8/1/2019,217.55,10405.9,136.41,15.34
8/2/2019,217.8,10533,135.89,15.19
8/5/2019,233,11819.4,137.79,15.33
8/6/2019,225.81,11465.4,138.91,15.38
8/7/2019,225.8,11983.7,141.02,15.97
8/8/2019,220.81,11982.4,141.73,15.89
8/9/2019,210.27,11856.1,141.26,15.89
8/12/2019,211.1,11389.3,142.63,15.98
8/13/2019,208.58,10868.5,141.78,15.87
8/14/2019,186.3,9971.71,142.75,16.08
8/15/2019,187.97,10300,143.7,16.13
8/16/2019,185.26,10352.7,142.78,16.02
8/19/2019,202.32,10920,141.11,15.79
8/20/2019,196.16,10769,142.21,16.05
8/21/2019,187.37,10130,141.76,16.05
8/22/2019,191.13,10107.1,141.4,15.97
8/23/2019,194.59,10410.8,144.17,16.35
8/26/2019,188.3,10361.6,144.19,16.52
8/27/2019,186.94,10171.8,145.57,17.03
8/28/2019,172.79,9714.31,145.16,17.17
8/29/2019,168.82,9495,144.12,17.07
8/30/2019,168.21,9582.42,143.75,17.15
9/3/2019,179.08,10628.4,145.75,17.89
9/4/2019,174.82,10582.2,146.66,18.34
9/5/2019,174,10574.7,143.14,17.41
9/6/2019,169.55,10306.9,141.92,16.87
9/9/2019,180.63,10310,141.39,16.83
9/10/2019,179.17,10084.1,140.18,16.85
9/11/2019,178.3,10160.2,141.03,16.95
9/12/2019,180.89,10423.7,141.32,16.92
9/13/2019,181.65,10367.4,140.15,16.31
9/16/2019,197.59,10262.5,141.32,16.74
9/17/2019,207.95,10185.3,141.6,16.86
9/18/2019,210.27,10155.2,140.71,16.55
9/19/2019,222.89,10287.7,141.28,16.62
9/20/2019,218.06,10168.8,142.95,16.8
9/23/2019,200.89,9693.75,143.75,17.51
9/24/2019,166.26,8530.01,144.51,17.44
9/25/2019,169.98,8438.35,141.83,16.71
9/26/2019,165.82,8068.2,141.79,16.67
9/27/2019,174.44,8193.99,141.06,16.36
9/30/2019,179.6,8304.95,138.87,15.92
10/1/2019,176.15,8322.73,139.63,16.15
10/2/2019,180.82,8381.71,141.26,16.43
10/3/2019,175.05,8240.41,141.9,16.43
10/4/2019,176.1,8156.67,141.9,16.41
10/7/2019,180.68,8209,140.69,16.3
10/8/2019,181.26,8180,141.92,16.61
10/9/2019,193.26,8590.01,142.05,16.6
10/10/2019,191.79,8587.5,140.81,16.37
10/11/2019,180.84,8267.33,140.03,16.37
10/14/2019,186.65,8355,140.59,16.49
10/15/2019,180.58,8162.44,139.61,16.27
10/16/2019,174.5,7993.54,140.41,16.26
10/17/2019,177.31,8076.2,140.61,16.4
10/18/2019,172.96,7954.16,140.46,16.41
10/21/2019,174.37,8209.92,139.79,16.41
10/22/2019,171.3,8024.72,140.2,16.37
10/23/2019,161.57,7474.85,140.53,16.39
10/24/2019,160.67,7430.87,141.53,16.65
10/25/2019,181.66,8668,141.86,16.89
10/28/2019,182.28,9219.94,140.64,16.68
10/29/2019,191.1,9430.79,140.25,16.65
10/30/2019,183.38,9164.45,141.02,16.73
10/31/2019,182.72,9159.48,142.43,16.92
11/1/2019,183.19,9253.12,142.56,16.92
11/4/2019,186.25,9412.53,142.15,16.85
11/5/2019,188.88,9309,139.85,16.44
11/6/2019,191.13,9341.27,140.45,16.47
11/7/2019,186.71,9205.76,138.27,16
11/8/2019,183.18,8763.01,137.39,15.7
11/11/2019,184.65,8721.54,137.06,15.75
11/12/2019,186.98,8795.77,137.43,15.72
11/13/2019,187.72,8758.34,137.98,15.83
11/14/2019,184.55,8635.01,138.56,15.9
11/15/2019,179.82,8457.48,138.21,15.85
11/18/2019,177.85,8168.84,138.62,15.92
11/19/2019,175.52,8123.36,138.69,16.02
11/20/2019,174.32,8082.96,138.76,16.04
11/21/2019,160.84,7616.46,138,15.99
11/22/2019,150.31,7298.18,137.74,15.9
11/25/2019,145.91,7127.01,137.08,15.78
11/26/2019,148.04,7172.15,137.74,15.99
11/27/2019,153,7523.72,137.01,15.84
11/29/2019,154.75,7760,137.86,15.92
12/2/2019,149.13,7305,137.79,15.8
12/3/2019,147.51,7298.2,139.11,16.05
12/4/2019,145.65,7213.61,138.92,15.76
12/5/2019,147.86,7394.99,139,15.85
12/6/2019,148.74,7540.87,137.62,15.48
12/9/2019,147.35,7341.49,137.58,15.5
12/10/2019,145.64,7226.98,137.97,15.57
12/11/2019,143.18,7194.13,138.92,15.75
12/12/2019,144.69,7189.41,138.43,15.85
12/13/2019,144.66,7248.23,139.05,15.84
12/16/2019,132.7,6884.75,139.04,15.91
12/17/2019,121.55,6615.8,139.01,15.88
12/18/2019,133.01,7294.81,139.02,15.9
12/19/2019,128.19,7150.01,139.38,15.94
12/20/2019,128.36,7182.77,139.52,16.04
12/23/2019,128.02,7323.21,139.95,16.28
12/24/2019,127.54,7232.76,141.27,16.58
12/26/2019,125.44,7195.96,142.38,16.73
12/27/2019,126.26,7240.4,142.33,16.58
12/30/2019,131.009,7220,142.63,16.74
12/31/2019,128.539,7177.36,142.9,16.68
1/2/2020,126.81,6946.33,143.95,16.81
1/3/2020,133.57,7308.09,145.86,16.84
1/6/2020,144.19,7770.88,147.39,16.94
1/7/2020,143.35,8168.44,147.97,17.17
1/8/2020,140.6,8045.51,146.86,16.93
1/9/2020,137.71,7813.78,146.03,16.72
1/10/2020,144.72,8170.27,146.91,16.89
1/13/2020,143.51,8104.5,145.82,16.78
1/14/2020,165.76,8822.71,145.69,16.62
1/15/2020,166.29,8808.81,146.54,16.81
1/16/2020,163.93,8714.76,146.31,16.77
1/17/2020,169.59,8899.42,146.58,16.82
1/21/2020,169.19,8722.03,146.74,16.64
1/22/2020,167.7,8653.84,146.79,16.66
1/23/2020,162.4,8385.21,147.12,16.61
1/24/2020,162.3,8427.26,147.98,16.91
1/27/2020,169.77,8895.95,148.99,16.89
1/28/2020,175.77,9394.5,147.66,16.32
1/29/2020,173.4,9290.62,148.46,16.41
1/30/2020,184.55,9503.08,148.47,16.68
1/31/2020,179.74,9334.98,149.33,16.82
2/3/2020,189.68,9290.23,148.36,16.5
2/4/2020,188.24,9164.33,146.43,16.45
2/5/2020,204,9613.82,146.61,16.46
2/6/2020,212.95,9763.01,147.4,16.63
2/7/2020,223.22,9808.04,147.79,16.54
2/10/2020,222.85,9851.78,148.17,16.61
2/11/2020,237.98,10270,147.66,16.48
2/12/2020,266.41,10351.1,147.54,16.33
2/13/2020,268.42,10236.4,148.38,16.46
2/14/2020,286.27,10371.3,149,16.56
2/18/2020,282.81,10188,150.91,17.01
2/19/2020,259.48,9600.08,151.79,17.23
2/20/2020,257.97,9622.89,152.41,17.14
2/21/2020,265.8,9700.35,154.7,17.28
2/24/2020,266.16,9660,156.09,17.4
2/25/2020,247.93,9304.99,153.3,16.71
2/26/2020,224.73,8778.29,153.97,16.68
2/27/2020,227.63,8812.49,154,16.47
2/28/2020,227.37,8708.89,148.38,15.53
3/2/2020,232.08,8915,149.2,15.56
3/3/2020,223.57,8757.84,153.89,16.02
3/4/2020,223.98,8760.66,154.16,16.09
3/5/2020,228.49,9060.93,157.49,16.3
3/6/2020,244.73,9145.77,157.55,16.18
3/9/2020,201.39,7934.52,157.81,15.88
3/10/2020,200.15,7884.87,154.48,15.73
3/11/2020,194.61,7938.05,153.93,15.63
3/12/2020,106.09,4857.1,147.79,14.62
3/13/2020,133.33,5637.6,143.28,13.69
3/16/2020,110.82,5024,141.64,12
3/17/2020,116.09,5331.72,143.56,11.88
3/18/2020,118.6,5413.64,140.7,11.21
3/19/2020,136.68,6186.95,138.04,11.32
3/20/2020,133.27,6201.61,140.11,11.62
3/23/2020,136.35,6499.12,146.3,12.31
3/24/2020,139,6766.65,153.4,13.29
3/25/2020,136.26,6690,151.3,13.51
3/26/2020,139,6759.85,153.24,13.53
3/27/2020,131.57,6372.36,152.25,13.44
3/30/2020,132.32,6406.4,152.92,13.16
3/31/2020,133.08,6445.67,148.05,13.05
4/1/2020,136.16,6664.85,149.45,13.02
4/2/2020,141.53,6805.12,151.9,13.53
4/3/2020,141.42,6741.99,152.65,13.46
4/6/2020,170.74,7341.56,156.88,14.03
4/7/2020,164.97,7209.62,156.04,13.99
4/8/2020,173.36,7370.11,154.65,13.94
4/9/2020,170.22,7293.24,158.69,14.34
4/13/2020,156.62,6861.21,161.41,14.4
4/14/2020,157.97,6877.37,162.68,14.65
4/15/2020,153.21,6624.12,161.85,14.49
4/16/2020,172.31,7112.78,161.71,14.51
4/17/2020,170.89,7036.25,158.57,14.15
4/20/2020,170.5,6838.19,159.7,14.26
4/21/2020,171.07,6853.68,158.61,13.88
4/22/2020,183.11,7136.84,161.73,14.09
4/23/2020,185.2,7472.45,163.34,14.21
4/24/2020,187.71,7508.67,162.64,14.21
4/27/2020,196.78,7785.73,161.56,14.21
4/28/2020,197.63,7758.4,160.84,14.1
4/29/2020,,,161.73,14.28
,,,,
